COINTRIG_cut,COINTRIG_scaler,COIN_PS,CPULT_phys,CPULT_scaler,CPULT_scaler_uncern,HMSTRIG_cut,HMSTRIG_scaler,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_scaler_accp,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_scaler_accp,SHMS_track,SHMS_track_uncern,TLT,TLT_ELT,accp_edtm,c_int_Track_events,c_int_noTrack_events,charge,curr_corr,current,hTLT,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,min_yield_COIN_notrack,min_yield_COIN_scaler,min_yield_COIN_track,min_yield_HMS_CPULT_notrack,min_yield_HMS_CPULT_track,min_yield_HMS_notrack,min_yield_HMS_scaler,min_yield_HMS_track,min_yield_SHMS_CPULT_notrack,min_yield_SHMS_CPULT_track,min_yield_SHMS_notrack,min_yield_SHMS_scaler,min_yield_SHMS_track,pTLT,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,rate_COIN,rate_HMS,rate_SHMS,run number,sent_edtm,sent_edtm_HMS,sent_edtm_PS,sent_edtm_SHMS,time,tot_events,uncern_COIN_evts_notrack,uncern_COIN_evts_scaler,uncern_COIN_evts_track,uncern_CPULT_phys,uncern_HMS_evts_notrack,uncern_HMS_evts_scaler,uncern_HMS_evts_track,uncern_SHMS_evts_notrack,uncern_SHMS_evts_scaler,uncern_SHMS_evts_track,uncern_TLT,uncern_TLT_ELT,uncern_charge,uncern_yieldRel_COIN_notrack,uncern_yieldRel_COIN_scaler,uncern_yieldRel_COIN_track,uncern_yieldRel_HMS_CPULT_notrack,uncern_yieldRel_HMS_CPULT_track,uncern_yieldRel_HMS_notrack,uncern_yieldRel_HMS_scaler,uncern_yieldRel_HMS_track,uncern_yieldRel_SHMS_CPULT_notrack,uncern_yieldRel_SHMS_CPULT_track,uncern_yieldRel_SHMS_notrack,uncern_yieldRel_SHMS_scaler,uncern_yieldRel_SHMS_track,yieldRel_COIN_notrack,yieldRel_COIN_scaler,yieldRel_COIN_track,yieldRel_HMS_CPULT_notrack,yieldRel_HMS_CPULT_track,yieldRel_HMS_notrack,yieldRel_HMS_scaler,yieldRel_HMS_track,yieldRel_SHMS_CPULT_notrack,yieldRel_SHMS_CPULT_track,yieldRel_SHMS_notrack,yieldRel_SHMS_scaler,yieldRel_SHMS_track,yield_COIN_notrack,yield_COIN_scaler,yield_COIN_track,yield_HMS_CPULT_notrack,yield_HMS_CPULT_track,yield_HMS_notrack,yield_HMS_scaler,yield_HMS_track,yield_SHMS_CPULT_notrack,yield_SHMS_CPULT_track,yield_SHMS_notrack,yield_SHMS_scaler,yield_SHMS_track
5440,707680,1,3.17921543767497,3.17921543767497,0.011747004336225,2016,18554484,129,0.969158971301364,0.001976712779985,18551021,0.9968,0.0066,1025,,,129,1,,,179396775,1025,0.969158971301364,0.001976712779985,179393312,0.9861,0.0113,0.8582154201559342,3.0796073013052268,2972,242770.426846278,1604676.09149737,13730.9955455118,0.996456992178116,39.51444846812741,15.459139474444124,453397.762467825,449105.044540261,415,121.42477789119187,15.516068808080226,18.36399980146269,776.6911758792695,778.2126032684666,847.3159598760105,1393.8226051948009,848.9757311579488,1595.0435202053934,1578.374682547917,1740.0813519438318,13666.29637890724,1721.8968113974906,152.72884781980943,92421.4183853529,88273.9898995042,516,2036.5300388626783,53395.26907867531,516260.0626873575,12200,3463,26.844961240310077,3463,3.3785365853658536,347.493033,1013707,0.0007894166989242889,0.0011887253902215808,0.002029561000674625,0.011747004336225,0.0014851157835917988,0.00023215367312056336,0.0014921965562200551,0.0032893772569018752,7.46608077552739e-05,0.0033657636954920783,0.01574438563775641,279964300.118657,18.92645468507405,0.018397202444475246,0.0013783745411871846,0.02266301781708816,0.013232120119816799,0.019832120119816797,0.01587422956797759,0.01182987415736205,0.01719160156520776,0.016414756134313035,0.027714756134313033,0.01614328337806172,0.011827831647740586,0.019705217538114207,1.1254421219882362,3.3171432189540995,1.1453615920751952,1.7311717955127566,1.7169229680435834,5.878503719215877,0.9727466148503237,5.8301192749399755,1.3653481736655575,1.3364262989344442,4.636284127156947,0.9593892056494645,4.538074724361548,136.65655969181324,51.46902243154854,21.033420049471875,1344.5858575058292,1336.1310925726193,4980.950021482099,1355.8362209051018,4949.6297741802155,2177.7897572295155,2109.381435329341,8067.511551978988,13111.29722712997,7814.096397761696
13124,2089238,1,3.19182130864607,3.19182130864607,0.006875663662804,4858,54571283,129,0.969084198767303,0.001511236308257,54561110,0.9964,0.0039,1025,,,129,1,,,527691517,1025,0.969084198767303,0.001511236308257,527681344,0.9877,0.0066,0.8584488351518726,3.0916940518851876,8733,690101.10144504,4709743.25807695,40407.4863517335,0.996463007110219,39.58164586773385,15.153347095252137,1335328.71739837,1323595.7923864,1195,121.42477789119187,15.516068808080226,18.36399980146269,776.6911758792695,778.2126032684666,847.3159598760105,1393.8226051948009,848.9757311579488,1595.0435202053934,1578.374682547917,1740.0813519438318,13666.29637890724,1721.8968113974906,151.43762901798877,273045.113772828,261157.970349773,1503,2046.538553019021,53455.96554686996,516906.65861983754,12201,10173,78.86046511627907,10173,9.924878048780489,1020.864228,2993464,0.0004607882365299716,0.000691840595587224,0.0012037703435653277,0.006875663662804,0.0008653781102344844,0.00013536859388936167,0.000869205190467525,0.001913739387859995,4.353213262992726e-05,0.001956808641703591,0.009186519659579399,281063095.62592614,55.69648329740464,0.010789705977582907,0.001378370404251014,0.01328117228159247,0.0077410417730384845,0.011641041773038485,0.009329572750176013,0.007013770771242093,0.010111920079827905,0.01016777345491497,0.01676777345491497,0.009484431815970872,0.007012599434010874,0.011554845168664118,1.122154057920417,3.3278470304059775,1.1047124219390025,1.7257105058140236,1.713371442976557,5.881594529560442,0.9721934214296586,5.839540335510952,1.3652876199955482,1.336073668790401,4.653195405595912,0.9589542532658089,4.553627943373162,136.2573072426863,51.635103506544596,20.28693869716121,1340.344121987903,1333.3672510046356,4983.568914415999,1355.0651674103337,4957.628025966744,2177.6931714905427,2108.82485283768,8096.938552228161,13105.35303894422,7840.877435984761
19159,2240349,1,2.72472849787097,2.72472849787097,0.005044386120022,8567,74663793,129,0.976880435627717,0.001204500662625,74645267,0.9969,0.0033,1025,,,129,1,,,724750920,1025,0.976880435627717,0.001204500662625,724732394,0.9911,0.0062,0.8933390910072331,2.6602845603928014,16550,957383.556835382,6487964.12480045,55130.9496604265,0.995279276595034,29.656471686672848,18.347997409046744,1528155.51781257,1517442.95774071,2635,121.42477789119187,15.516068808080226,18.36399980146269,776.6911758792695,778.2126032684666,847.3159598760105,1393.8226051948009,848.9757311579488,1595.0435202053934,1578.374682547917,1740.0813519438318,13666.29637890724,1721.8968113974906,182.63656482780956,311327.345847313,299836.96784597,3301,1205.1460585388334,40163.73156571112,389863.68403333286,12202,18526,143.6124031007752,18526,18.074146341463415,1858.98546,3503830,0.0003925959183457871,0.0006681010605424977,0.0010220144069390544,0.005044386120022,0.0008089398367490089,0.00011572973951550671,0.0008117902160573789,0.0017922201896268324,3.7145449003163145e-05,0.0018262381516855946,0.006944289376718758,241844050.9448001,75.9911837380584,0.007894668774636354,0.0013783761064541818,0.010602693263261756,0.005853325956771009,0.00915332595677101,0.007125830428654068,0.005230597039662168,0.007852863127416154,0.008214982416102981,0.014414982416102982,0.007303090362754575,0.0052294485180653565,0.009579933655644945,1.0900448031405705,2.6096804157396973,1.0764474649105598,1.6976385324995353,1.6876740001747534,4.746299113328103,0.9760101569307502,4.718440031413763,1.3381504007561231,1.3140678546758298,3.7412334481222493,0.9664656075199224,3.673902879853818,132.35844811279173,40.49198089771655,19.767881031902537,1318.5408680250216,1313.3691771445015,4021.614989068259,1360.3850196298047,4005.8410755944346,2134.4081257863045,2074.091432970385,6510.050556346047,13208.005432387901,6326.081654204347
19629,821640,1,1.30402624589098,1.30402624589098,0.001781186219415,36721,37840952,33,0.984573527620331,0.001162250293307,37826903,0.9972,0.0023,257,,,33,1,,,368903255,257,0.984573527620331,0.001162250293307,368889206,0.9955,0.0071,0.9258310200014236,1.2833323199704263,13007,480404.598051021,3236214.05908378,27841.8641543589,0.992911452829961,19.75016835491036,10.147341447789877,1052830.73408341,1049275.51051823,4320,121.42477789119187,15.516068808080226,18.36399980146269,776.6911758792695,778.2126032684666,847.3159598760105,1393.8226051948009,848.9757311579488,1595.0435202053934,1578.374682547917,1740.0813519438318,13666.29637890724,1721.8968113974906,100.30116022492705,241188.279354234,236245.847058497,5483,582.8463294397613,26843.215977442913,261688.70563157866,12203,14049,425.72727272727275,14049,54.66536964980545,1409.702624,3364488,0.0005558804237015698,0.0011032125992046426,0.0014427677374992524,0.001781186219415,0.0009745872441650137,0.00016256197729062823,0.0009762369279156698,0.002036206879299681,5.206474628546364e-05,0.002057396082633456,0.008118157395163328,116666574.54276602,38.377057685198544,0.008876188120340254,0.0013783939707646504,0.011617798213107178,0.0027557734635800138,0.005055773463580014,0.008291819446163353,0.0022581011233629633,0.008604898007982009,0.0051957870694786775,0.012295787069478679,0.008482369237812683,0.002252843763929982,0.011061672020386019,1.0413323598943802,1.8827859260668562,1.029617187946591,1.2408776443619454,1.237735319998174,1.6020886711801103,0.9817127960927308,1.5980316376061352,1.078007103775796,1.071891366552854,1.3918076260443335,0.9764191363812134,1.383911639388995,126.44355051108579,29.21343597973839,18.90788983503377,963.7787167217773,963.2212255331076,1357.4753002274574,1368.3334870030424,1356.6900779502027,1719.4682456129663,1691.8461954087138,2421.858495572959,13344.03330782231,2382.9530391197845
20789,868855,1,1.30626493585419,1.30626493585419,0.001734078255883,39227,40052376,33,0.984592672333503,0.001145161428368,40037495,0.9972,0.0022,257,,,33,1,,,390435508,257,0.984592672333503,0.001145161428368,390420627,0.9957,0.0069,0.9312546199852161,1.2855529680748823,13858,499731.864952233,3460993.62685151,29453.250982201,0.992902125319669,19.724214121158642,10.247496808010215,1124906.1775124,1120622.04024565,4621,121.42477789119187,15.516068808080226,18.36399980146269,776.6911758792695,778.2126032684666,847.3159598760105,1393.8226051948009,848.9757311579488,1595.0435202053934,1578.374682547917,1740.0813519438318,13666.29637890724,1721.8968113974906,100.92789463073719,256303.313123023,250951.173305402,5844,581.8536660213063,26822.222129657748,261466.3340542335,12204,14881,450.93939393939394,14881,57.90272373540856,1493.25346,3587362,0.0005375261539692632,0.0010728187313193793,0.0014145929151776887,0.001734078255883,0.0009428483581255369,0.00015801046739743956,0.0009446488932089369,0.001975253727019744,5.060871918441259e-05,0.0019962061292382533,0.007911006666464599,116868451.64317112,40.598182402378505,0.008606100775531417,0.001378393931010496,0.011267399476885221,0.0026769266140085368,0.004876926614008537,0.00808535462007155,0.002220802677947419,0.008379317354791641,0.005087725913912687,0.011987725913912688,0.008269560060365833,0.0022157523483071744,0.010770126442711699,1.0466111641330316,1.8820158342931224,1.0063542094801148,1.2511544439540065,1.247445619217118,1.6087062016136693,0.9822447477736018,1.6039374783087545,1.0810452145738398,1.0742683799779107,1.3899835862099577,0.9768823007949061,1.3812700849356245,127.0845281432951,29.201487182788597,18.48068850309397,971.760616281211,970.7779027667976,1363.082439378777,1369.0749332807118,1361.7039933788114,1724.3141645550522,1695.5980132189,2418.6845178719586,13350.363049971998,2378.404554929393
16688,505435,1,1.17658175217695,1.17658175217695,0.001622797794943,80446,27393213,17,0.987667133292603,0.001125264073913,27380527,0.9973,0.0019,257,,,17,1,,,267369724,257,0.987667133292603,0.001125264073913,267357038,0.9961,0.0085,0.9442692732145672,1.1615978455526386,11979,343633.960966139,2362783.26488991,20103.4305658521,0.991134760422297,15.792015407244223,8.166325082768406,1127421.36199005,1124840.47776636,6094,121.42477789119187,15.516068808080226,18.36399980146269,776.6911758792695,778.2126032684666,847.3159598760105,1393.8226051948009,848.9757311579488,1595.0435202053934,1578.374682547917,1740.0813519438318,13666.29637890724,1721.8968113974906,80.62903988648904,172731.071947836,169397.077846612,3980,397.03856917428396,21518.418974955028,210029.16825602346,12205,12686,746.2352941176471,12686,49.36186770428016,1273.012345,3133732,0.0006505610485095473,0.0014065894115522306,0.0017058936827911578,0.001622797794943,0.0009417960622700865,0.00019106384476766066,0.0009428758926935106,0.0024061060543366605,6.115667791633493e-05,0.0024296686097557414,0.008627833150970104,105599804.14114895,27.71081522938154,0.00924043594181471,0.0013784122634525823,0.012721324366014239,0.0025645938572130865,0.004464593857213086,0.008787861234220467,0.002137755468728355,0.008990912360373382,0.005407316112729434,0.013907316112729435,0.009062498087929341,0.0021300782123091985,0.012424929440190918,1.0342316607564517,1.593826974652591,1.0011549518258112,1.052596251795176,1.050971134430674,1.2022396701159308,0.9858967096786432,1.200383516285945,1.1871512766928647,1.1811389761388533,1.3559238471871946,0.9818336313517974,1.3490568018007367,125.58134969539063,24.72992900688394,18.385209336562585,817.5422205329069,817.8789824853085,1018.6768600852982,1374.1651203372687,1019.0964734088096,1893.557951392514,1864.2798565081343,2359.417801146375,13418.029400832414,2322.936605414785
16760,503427,1,1.17680262345018,1.17680262345018,0.001625778003456,80148,27287159,17,0.987647741536358,0.001126976314611,27274512,0.9974,0.002,257,,,17,1,,,266592646,257,0.987647741536358,0.001126976314611,266579999,0.9955,0.0086,0.940302047916502,1.1618152921471925,11892,343631.061790158,2348235.01861104,20038.1475400303,0.991132887503446,15.788679804660672,8.098758598877204,1120799.49731161,1118085.76540854,6025,121.42477789119187,15.516068808080226,18.36399980146269,776.6911758792695,778.2126032684666,847.3159598760105,1393.8226051948009,848.9757311579488,1595.0435202053934,1578.374682547917,1740.0813519438318,13666.29637890724,1721.8968113974906,80.41029493160434,171277.083764489,168057.529898444,3957,396.6657941879237,21500.40144026274,210056.6390961351,12206,12647,743.9411764705883,12647,49.21011673151751,1269.146489,3114127,0.0006525731785553653,0.0014093918245295177,0.0017059008789909631,0.001625778003456,0.0009445741067474381,0.00019143477811739136,0.0009457197109033688,0.002416297308094584,6.124574437983411e-05,0.0024393325557575717,0.00862295413191964,105619572.01338114,27.62082899465513,0.009273425320996816,0.0013784122978201376,0.012831502591947158,0.002570352110203438,0.004570352110203438,0.008783369437015711,0.0021400518343180817,0.009008195083761323,0.005420487609367879,0.014020487609367877,0.009060565716613345,0.0021323521333260066,0.01249215158029509,1.0355650950001314,1.5926329713266698,1.0091545146254042,1.0496279647597477,1.0477636587134302,1.2041334560216737,0.9852808189134064,1.2019947236726851,1.1807739443443077,1.1761064831252632,1.3545841556432774,0.9821713691168082,1.3492296429995316,125.74326165226196,24.711402769121868,18.532113306226098,815.236778185013,815.3828844574717,1020.2814951078223,1373.3066778663508,1020.4643493780145,1883.3858287537519,1856.3366969453843,2357.086628873448,13422.645025227403,2323.234220123868
15704,470381,1,1.17630055600143,1.17630055600143,0.001678445251286,75804,25611092,17,0.987693465104319,0.001143420397474,25599226,0.9972,0.002,257,,,17,1,,,249712917,257,0.987693465104319,0.001143420397474,249701051,0.9952,0.0088,0.9426091353446823,1.161340635348814,11185,319459.462061977,2188257.79674682,18785.6702590128,0.991126455590797,15.777235515359248,8.14756446991404,1054511.14951103,1052392.47987355,5687,121.42477789119187,15.516068808080226,18.36399980146269,776.6911758792695,778.2126032684666,847.3159598760105,1393.8226051948009,848.9757311579488,1595.0435202053934,1578.374682547917,1740.0813519438318,13666.29637890724,1721.8968113974906,80.24481712455756,160993.272502052,157987.697856537,3705,395.05174511352214,21509.598790901346,209722.5943187291,12207,11866,698.0,11866,46.17120622568093,1190.681995,2925700,0.0006760063224036489,0.0014580590554425798,0.0017692618863675482,0.001678445251286,0.0009738104081850264,0.00019759955030642702,0.0009747901496937615,0.0024922760026907013,6.328189795454589e-05,0.0025158709739943603,0.008913143512113794,105576421.39534673,25.894405861431707,0.009555761476197298,0.001378412667978872,0.013172846425089103,0.0026522556594710265,0.0046522556594710265,0.009071518917020497,0.0021808818232726067,0.009289373254523727,0.005549133921952088,0.014349133921952088,0.009357114321432606,0.0021728332985777527,0.012845060857168378,1.0268423186669131,1.5871431072019426,0.9987767667043175,1.053847234748839,1.0526210766827537,1.2055002436205493,0.9864238567033381,1.2040976362988765,1.1843886819237763,1.1802169691857416,1.3548271490609483,0.9813270533295168,1.3500551094747606,124.68410047340639,24.62622165961559,18.341536345463634,818.5138479541923,819.162988340542,1021.4395960541102,1374.8998697765496,1022.2496711623966,1889.1514925071262,1862.8245840762095,2357.5094571881823,13411.106355440887,2324.6555882154803
19991,436028,1,1.14627254031871,1.14627254031871,0.001545726212284,88585,28735011,17,0.990758473474707,0.000960899503842,28717259,0.9976,0.0019,257,,,17,1,,,281325115,257,0.990758473474707,0.000960899503842,281307363,0.996,0.0087,0.954202343397927,1.1352989267485498,16939,366795.590050785,2453696.10744736,21056.2759103087,0.988156138841346,11.820469534777487,8.459779179810726,1134477.59327498,1132834.38964724,8834,121.42477789119187,15.516068808080226,18.36399980146269,776.6911758792695,778.2126032684666,847.3159598760105,1393.8226051948009,848.9757311579488,1595.0435202053934,1578.374682547917,1740.0813519438318,13666.29637890724,1721.8968113974906,83.88114015322218,166725.176507712,163929.420941932,5794,244.77527328498974,16131.120410552043,157928.92178038144,12208,17752,1044.235294117647,17752,69.07392996108949,1781.34006,3192307,0.0006383952001018742,0.001514407705048807,0.0016511553924638094,0.001545726212284,0.00093886259905367,0.00018654959741265192,0.0009395432737409423,0.0024490598981890157,5.962051833998096e-05,0.002469855512461694,0.007331760444554654,103208993.34077725,29.025015553330476,0.007806321720152602,0.0013784496212462995,0.011868665551508142,0.00248458881133767,0.00438458881133767,0.007519062278937453,0.0020794695559057043,0.007755404409477308,0.005373235731714939,0.01407323573171494,0.007851925175366602,0.0020719429258188975,0.011719331421184224,1.0178079567547857,1.2956094694871136,1.0124962717481645,1.0411215800555915,1.040077307343099,1.1464413523549501,0.9902123661252509,1.1452914411018635,1.1263328419629517,1.1236357776283363,1.2402725784176447,0.9892888833196108,1.2373026792796402,123.58710508483769,20.102765676962374,18.593481333365006,808.6299442466603,809.4012689479301,971.3980549121862,1380.1803798488052,972.3246385983954,1796.5499011675315,1773.518263813607,2158.1751850318374,13519.915083803984,2130.5075381851843
15923,331222,1,1.10419634694592,1.10419634694592,0.001436742012511,50327,21799471,17,0.990742256430364,0.00103063574344,21786015,0.9974,0.0022,129,,,17,1,,1.0,213317887,129,0.990742256430364,0.00103063574344,213304431,0.9969,0.0077,0.9547413793103449,1.0936216554267697,12847,277946.76250833,1852069.74701755,15977.0856337341,0.988168046503997,11.832365639984435,6.316884661117717,862853.476118207,861491.166007576,5000,121.42477789119187,15.516068808080226,18.36399980146269,776.6911758792695,778.2126032684666,847.3159598760105,1393.8226051948009,848.9757311579488,1595.0435202053934,1578.374682547917,1740.0813519438318,13666.29637890724,1721.8968113974906,62.75520214030916,208260.929393052,205267.168141328,6546,245.297540606031,16144.32804225714,157979.7025812755,12209,13456,791.5294117647059,13456,104.31007751937985,1350.286673,3241865,0.000734803694359879,0.0017375624092041471,0.0018967897325173576,0.001436742012511,0.0010765432282663278,0.00021417906709534043,0.0010773940822551373,0.0021912710390879224,6.846779842778915e-05,0.0022071927176657586,0.008423649544575786,99420150.4933427,22.023628165663755,0.008929996307744999,0.0013784509059225694,0.012011220378312103,0.002513285240777328,0.004713285240777328,0.008603310053239345,0.002002555163611535,0.008880143234890368,0.00500646395751151,0.01270646395751151,0.008812472259053558,0.0019922455546309897,0.011702549607525214,1.011896060230559,1.2971713885981286,1.0098555706899173,1.0833353831734334,1.0823244031711179,1.1484880287155972,0.9900153431834172,1.1474162475774894,0.9661627735081507,0.9653233773700101,1.0242685657642991,0.9886001520318843,1.0233786876794713,122.86925436246773,20.127000521361538,18.544987499655633,841.4170326285929,842.2784913727851,973.1322364572634,1379.9057648187354,974.128547729609,1541.0716713478469,1523.6419793124728,1782.3106306687114,13510.502677900487,1762.1524991674298
